# ended because of an error
51000 frames played: 0 wins, 0 losses, 0 draws, 45032 terminations, 2236 legal NN moves.
52000 frames played: 0 wins, 0 losses, 0 draws, 45944 terminations, 2323 legal NN moves.
53000 frames played: 0 wins, 0 losses, 0 draws, 46875 terminations, 2390 legal NN moves.
54000 frames played: 0 wins, 0 losses, 0 draws, 47795 terminations, 2466 legal NN moves.
55000 frames played: 0 wins, 0 losses, 0 draws, 48743 terminations, 2513 legal NN moves.
56000 frames played: 0 wins, 0 losses, 0 draws, 49640 terminations, 2615 legal NN moves.
57000 frames played: 0 wins, 0 losses, 0 draws, 50585 terminations, 2669 legal NN moves.
58000 frames played: 0 wins, 0 losses, 0 draws, 51508 terminations, 2743 legal NN moves.
59000 frames played: 0 wins, 0 losses, 0 draws, 52446 terminations, 2805 legal NN moves.
60000 frames played: 0 wins, 0 losses, 0 draws, 53385 terminations, 2866 legal NN moves.
61000 frames played: 0 wins, 0 losses, 0 draws, 54352 terminations, 2897 legal NN moves.
62000 frames played: 0 wins, 0 losses, 0 draws, 55324 terminations, 2923 legal NN moves.
63000 frames played: 0 wins, 0 losses, 0 draws, 56281 terminations, 2966 legal NN moves.
64000 frames played: 0 wins, 0 losses, 0 draws, 57222 terminations, 3024 legal NN moves.
65000 frames played: 0 wins, 0 losses, 0 draws, 58187 terminations, 3058 legal NN moves.
66000 frames played: 0 wins, 0 losses, 0 draws, 59111 terminations, 3133 legal NN moves.
67000 frames played: 0 wins, 0 losses, 0 draws, 60028 terminations, 3216 legal NN moves.
68000 frames played: 0 wins, 0 losses, 0 draws, 60960 terminations, 3283 legal NN moves.
69000 frames played: 0 wins, 0 losses, 0 draws, 61855 terminations, 3388 legal NN moves.
70000 frames played: 0 wins, 0 losses, 0 draws, 62783 terminations, 3460 legal NN moves.
71000 frames played: 0 wins, 0 losses, 0 draws, 63708 terminations, 3535 legal NN moves.
72000 frames played: 0 wins, 0 losses, 0 draws, 64648 terminations, 3595 legal NN moves.
73000 frames played: 0 wins, 0 losses, 0 draws, 65610 terminations, 3633 legal NN moves.
74000 frames played: 0 wins, 0 losses, 0 draws, 66507 terminations, 3736 legal NN moves.
75000 frames played: 0 wins, 0 losses, 0 draws, 67462 terminations, 3781 legal NN moves.
76000 frames played: 0 wins, 0 losses, 0 draws, 68394 terminations, 3848 legal NN moves.
77000 frames played: 0 wins, 0 losses, 0 draws, 69359 terminations, 3883 legal NN moves.
78000 frames played: 0 wins, 0 losses, 0 draws, 70308 terminations, 3934 legal NN moves.
79000 frames played: 0 wins, 0 losses, 0 draws, 71247 terminations, 3995 legal NN moves.
80000 frames played: 0 wins, 0 losses, 0 draws, 72175 terminations, 4067 legal NN moves.
81000 frames played: 0 wins, 0 losses, 0 draws, 73101 terminations, 4141 legal NN moves.
82000 frames played: 0 wins, 0 losses, 0 draws, 74076 terminations, 4166 legal NN moves.
83000 frames played: 0 wins, 0 losses, 0 draws, 74980 terminations, 4262 legal NN moves.
84000 frames played: 0 wins, 0 losses, 0 draws, 75917 terminations, 4325 legal NN moves.
85000 frames played: 0 wins, 0 losses, 0 draws, 76839 terminations, 4403 legal NN moves.
86000 frames played: 0 wins, 0 losses, 0 draws, 77709 terminations, 4533 legal NN moves.
87000 frames played: 0 wins, 0 losses, 0 draws, 78600 terminations, 4642 legal NN moves.
88000 frames played: 0 wins, 0 losses, 0 draws, 79542 terminations, 4700 legal NN moves.
89000 frames played: 0 wins, 0 losses, 0 draws, 80499 terminations, 4743 legal NN moves.
90000 frames played: 0 wins, 0 losses, 0 draws, 81380 terminations, 4862 legal NN moves.
91000 frames played: 0 wins, 0 losses, 0 draws, 82278 terminations, 4964 legal NN moves.
92000 frames played: 0 wins, 0 losses, 0 draws, 83181 terminations, 5061 legal NN moves.
93000 frames played: 0 wins, 0 losses, 0 draws, 84127 terminations, 5115 legal NN moves.
94000 frames played: 0 wins, 0 losses, 0 draws, 85053 terminations, 5189 legal NN moves.
95000 frames played: 0 wins, 0 losses, 0 draws, 86001 terminations, 5241 legal NN moves.
96000 frames played: 0 wins, 0 losses, 0 draws, 86934 terminations, 5308 legal NN moves.
97000 frames played: 0 wins, 0 losses, 0 draws, 87866 terminations, 5375 legal NN moves.
98000 frames played: 0 wins, 0 losses, 0 draws, 88803 terminations, 5438 legal NN moves.
99000 frames played: 0 wins, 0 losses, 0 draws, 89745 terminations, 5496 legal NN moves.
