167000 frames played: 1 wins, 0 losses, 0 draws, 157923 terminations, 5316 legal NN moves.
168000 frames played: 1 wins, 0 losses, 0 draws, 158876 terminations, 5363 legal NN moves.
169000 frames played: 1 wins, 0 losses, 0 draws, 159848 terminations, 5391 legal NN moves.
170000 frames played: 1 wins, 0 losses, 0 draws, 160819 terminations, 5420 legal NN moves.
171000 frames played: 1 wins, 0 losses, 0 draws, 161751 terminations, 5488 legal NN moves.
172000 frames played: 1 wins, 0 losses, 0 draws, 162691 terminations, 5548 legal NN moves.
173000 frames played: 1 wins, 0 losses, 0 draws, 163664 terminations, 5574 legal NN moves.
174000 frames played: 1 wins, 0 losses, 0 draws, 164620 terminations, 5618 legal NN moves.
175000 frames played: 1 wins, 0 losses, 0 draws, 165587 terminations, 5651 legal NN moves.
176000 frames played: 1 wins, 0 losses, 0 draws, 166520 terminations, 5718 legal NN moves.
177000 frames played: 1 wins, 0 losses, 0 draws, 167457 terminations, 5781 legal NN moves.
178000 frames played: 1 wins, 0 losses, 0 draws, 168417 terminations, 5821 legal NN moves.
179000 frames played: 1 wins, 0 losses, 0 draws, 169370 terminations, 5868 legal NN moves.
180000 frames played: 1 wins, 0 losses, 0 draws, 170330 terminations, 5908 legal NN moves.
181000 frames played: 1 wins, 0 losses, 0 draws, 171281 terminations, 5957 legal NN moves.
182000 frames played: 1 wins, 0 losses, 0 draws, 172225 terminations, 6013 legal NN moves.
183000 frames played: 1 wins, 0 losses, 0 draws, 173167 terminations, 6071 legal NN moves.
184000 frames played: 1 wins, 0 losses, 0 draws, 174151 terminations, 6087 legal NN moves.
185000 frames played: 1 wins, 0 losses, 0 draws, 175117 terminations, 6121 legal NN moves.
186000 frames played: 1 wins, 0 losses, 0 draws, 176073 terminations, 6165 legal NN moves.
187000 frames played: 1 wins, 0 losses, 0 draws, 177054 terminations, 6184 legal NN moves.
188000 frames played: 1 wins, 0 losses, 0 draws, 178029 terminations, 6209 legal NN moves.
189000 frames played: 1 wins, 0 losses, 0 draws, 178975 terminations, 6263 legal NN moves.
190000 frames played: 1 wins, 0 losses, 0 draws, 179916 terminations, 6322 legal NN moves.
191000 frames played: 1 wins, 0 losses, 0 draws, 180889 terminations, 6349 legal NN moves.
192000 frames played: 1 wins, 0 losses, 0 draws, 181865 terminations, 6373 legal NN moves.
193000 frames played: 1 wins, 0 losses, 0 draws, 182830 terminations, 6408 legal NN moves.
194000 frames played: 1 wins, 0 losses, 0 draws, 183772 terminations, 6466 legal NN moves.
195000 frames played: 1 wins, 0 losses, 0 draws, 184709 terminations, 6528 legal NN moves.
196000 frames played: 1 wins, 0 losses, 0 draws, 185658 terminations, 6579 legal NN moves.
197000 frames played: 1 wins, 0 losses, 0 draws, 186575 terminations, 6662 legal NN moves.
198000 frames played: 1 wins, 0 losses, 0 draws, 187549 terminations, 6688 legal NN moves.
199000 frames played: 1 wins, 0 losses, 0 draws, 188525 terminations, 6712 legal NN moves.
200000 frames played: 1 wins, 0 losses, 0 draws, 189497 terminations, 6740 legal NN moves.
201000 frames played: 1 wins, 0 losses, 0 draws, 190465 terminations, 6772 legal NN moves.
202000 frames played: 1 wins, 0 losses, 0 draws, 191420 terminations, 6817 legal NN moves.
203000 frames played: 1 wins, 0 losses, 0 draws, 192385 terminations, 6852 legal NN moves.
204000 frames played: 1 wins, 0 losses, 0 draws, 193287 terminations, 6950 legal NN moves.
205000 frames played: 1 wins, 0 losses, 0 draws, 194217 terminations, 7020 legal NN moves.
206000 frames played: 1 wins, 0 losses, 0 draws, 195212 terminations, 7025 legal NN moves.
207000 frames played: 1 wins, 0 losses, 0 draws, 196139 terminations, 7098 legal NN moves.
208000 frames played: 1 wins, 0 losses, 0 draws, 197093 terminations, 7144 legal NN moves.
209000 frames played: 1 wins, 0 losses, 0 draws, 198021 terminations, 7216 legal NN moves.
210000 frames played: 1 wins, 0 losses, 0 draws, 198935 terminations, 7302 legal NN moves.
211000 frames played: 1 wins, 0 losses, 0 draws, 199889 terminations, 7348 legal NN moves.
212000 frames played: 1 wins, 0 losses, 0 draws, 200824 terminations, 7413 legal NN moves.
213000 frames played: 1 wins, 0 losses, 0 draws, 201807 terminations, 7430 legal NN moves.
214000 frames played: 1 wins, 0 losses, 0 draws, 202774 terminations, 7463 legal NN moves.
